"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"39",1322,469288,"EDCS-28400133","HD060047",1,100,"Iano Pat[ri] / Q(uintus) Ennius [-] / f(ilius) Agrippa / v(otum) s(olvit) l(ibens) m(erito)","Iano Patri Quintus Ennius filius Agrippa votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Karin Gornji / Corinium","Corinium","Benkovac","tria nomina, viri",44.1075,15.6256,1
"40",1481,469454,"EDCS-08900525","HD005985",1,100,"L(ibero) P(atri) A(ugusto) / Cordi/us Ur/sinus","Libero Patri Augusto Cordius Ursinus","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Kolovrat / Municipium Splonistarum","NULL","Prijepolje","tria nomina, viri",43.3691604,19.626587,1
"41",1640,469617,"EDCS-30400622","HD061801",1,100,"Sex(tus) C[eion(ius)?] / Vol(timesis?) f(ilius?) [---] / v(otum) s(olvit) l(ibens) m(erito)","Sextus Ceionius Voltimesis filius votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Labin / Alvona","Albona","Labin","viri",45.0949,14.1232,1
"42",1720,469698,"EDCS-10100751","HD034061",1,100,"------] / [---]sus[---] / [---]aeq(---) p(osuit) l(ibens) m(erito) [---](?)","sus aeq posuit libens merito","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Livno / Bariduum / Delminium","NULL","Livno","ordo decurionum, viri",43.8259136,17.0042416,1
"43",1906,469892,"EDCS-10000299","HD021805",1,100,"T(itus)(?) Octavius / C(ai) f(ilius) Macer |(centurio) / cohor(tis) I / Liburnorum / Iano Patri / v(otum) s(olvit) l(ibens) m(erito)","Titus Octavius Cai filius Macer centurio cohortis I Liburnorum Iano Patri votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Nadin / Nedinum","Nedinum","Benkovac","milites, tria nomina, viri",44.0721,15.5095,1
"44",1908,469894,"EDCS-10000882","HD034506",1,100,"Trivi(i)s / sacr(um) / C(aius) Iulius / Celer / v(otum) s(olvit) l(ibens) m(erito)","Triviis sacrum Caius Iulius Celer votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Nadin / Nedinum","Nedinum","Benkovac","tria nomina, viri",44.0721,15.5095,1
"45",2281,470279,"EDCS-31900020","HD058062",1,100,"T(itus) Iulius / Dianae / v(otum) s(olvit) l(ibens) m(erito)","Titus Iulius Dianae votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Podgrade / Asseria","Alveria","Lišane Ostrovičke","praenomen et nomen, viri",43.9937,15.8139,1
"46",2393,470394,"EDCS-16000504","HD027049",1,100,"Liberai(!) / Iulia M(a)ximina / v(otum) s(olvit) l(ibens) m(erito)","Liberai Iulia Maximina votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Pritoka / Raetinium","Raetinium","Bihać","mulieres, tria nomina",44.7885,15.9292,1
"47",2610,470613,"EDCS-10100902","HD021249",1,100,"[G]enio / Osiniatiu[m] / P(ublius) Rapidiu[s] / signifer / c(o)h[ortis] / [------","Genio Osiniatium Publius Rapidius signifer cohortis","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Sinj / Osinium","Senia","Senj","milites, praenomen et nomen, viri",44.9931,14.902,1
"48",2726,470729,"EDCS-57200037","HD054127",1,100,"M(agnae) M(atri) / Mescenia P(ubli) f(ilia) port(i)c(um) / f(ecit) d(e) s(ua) p(ecunia)","Magnae Matri Mescenia Publi filia porticum fecit de sua pecunia","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Skrip / Brattia","NULL","Supetar","mulieres, praenomen et nomen",43.3546077,16.603408,1
"49",2862,470873,"EDCS-27500033","HD053745",1,100,"I(ovi) O(ptimo) M(aximo) / sacrum / L(ucius) Egnatius L(uci) f(ilius) / Cn(aei) nep(os) Cn(aei) pronep(os) / Tro(mentina) Clemens / decurio augur","Iovi Optimo Maximo sacrum Lucius Egnatius Luci filius Cnaei nepos Cnaei pronepos Tromentina Clemens decurio augur","votive inscription","votive inscription","cliff","Dalmatia","Dalmatia","Solin / Salona","Salonae","Klis","ordo decurionum, sacerdotes pagani, tria nomina, viri",43.5384,16.4743,1
"50",3615,471660,"EDCS-28701358","HD034680",1,100,"P(ublius) Cloelius miles c(o)ho(rtis) Campanae custos Traguri / v(otum) s(olvit) l(ibens) m(erito)","Publius Cloelius miles cohortis Campanae custos Traguri votum solvit libens merito","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","milites, praenomen et nomen, viri",43.5384,16.4743,1
"51",3715,471761,"EDCS-28900133","HD060148",1,100,"------](?) / Min[ervae? ---] / aede I(?)[---] / M(arcus) Trosiu[s ---] / Magnus [---]","Minervae aede I Marcus Trosius Magnus","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","tria nomina, viri",43.5384,16.4743,1
"52",6509,474966,"EDCS-66100167","HD060609",1,100,"C(aius) Iulius C(ai) [f(ilius) ---] / Cerialis [--- coh(ortis)] / Campan[ae] / Castori et [Polluci] / v(otum) s(olvit) [l(ibens) m(erito)]","Caius Iulius Cai filius Cerialis cohortis Campanae Castori et Polluci votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","milites, tria nomina, viri",43.0801,17.625,1
"53",6523,474980,"EDCS-10000214","HD032926",1,100,"[------] / [s]ac(rum) / ob honore(m) / IIvir(atus) C(ai) Vibi Res/tituti C(aius) Iulius / Maximus pos(uit)","sacrum ob honorem II viratus Cai Vibi Restituti Caius Iulius Maximus posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","ordo decurionum, tria nomina, viri",43.0801,17.625,1
"54",6875,475337,"EDCS-10101898","HD035665",1,100,"Dis / Salutari/bus / Cn(aeus) Corne/lius Severus / ob periculum / quod evase/rat","Dis Salutaribus Cnaeus Cornelius Severus ob periculum quod evaserat","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Zadar / Iader","Iader","Zadar","tria nomina, viri",44.115501,15.223778,1
"55",1617,469594,"EDCS-28400303","HD061824",14,100,"Nymphis / Aug(ustis) sacr(um) / ex voto sus/cepto pro sa/lute municipi(i) / balineo effect(o) / Ti(berius) Gavillius C(ai) f(ilius) / Claud(ia) Lambicus / aed(ilis) IIvir posuit","Nymphis Augustis sacrum ex voto suscepto pro salute municipii balineo effecto Tiberius Gavillius Cai filius Claudia Lambicus aedilis II vir posuit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Labin / Alvona","Albona","Labin","ordo decurionum, tria nomina, viri",45.0949,14.1232,1
"56",993,468946,"EDCS-32700505","HD060571",42,100,"------] / Nymp[his] / sacr[um] / [-?] Iulius [---]/us |(centurio) l[eg(ionis)] / [VII] C(laudiae) p(iae) [f(idelis)] / [cu?]m Pri[------","Nymphis sacrum Iulius us centurio legionis VII Claudiae piae fidelis cum Pri","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Gornji Muc / Andetrium","Andetrium","Muć","milites, tria nomina, viri",43.6922,16.5206,1
