"","fo_antik","koordinaten1","n","latitude","longitude"
"373","Salonae","43.538393809,16.483472474",3,"43.538393809","16.483472474"
"374","Salonae","43.538412327,16.474285126",3,"43.538412327","16.474285126"
"375","Salonae","43.538574357,16.474310159",3,"43.538574357","16.474310159"
"376","Salonae","43.538635280,16.474678518",3,"43.538635280","16.474678518"
"377","Salonae","43.538638243,16.488590240",3,"43.538638243","16.488590240"
"378","Salonae","43.538749905,16.486315727",3,"43.538749905","16.486315727"
"379","Salonae","43.539127109,16.482173630",3,"43.539127109","16.482173630"
"380","Salonae","43.539375,16.483909",3,"43.539375","16.483909"
"381","Salonae","43.539394873,16.487630009",3,"43.539394873","16.487630009"
"382","Salonae","43.539478,16.483558",3,"43.539478","16.483558"
"383","Salonae","43.539570418,16.486636059",3,"43.539570418","16.486636059"
"384","Salonae","43.539620415,16.483199000",3,"43.539620415","16.483199000"
"385","Salonae","43.539690966,16.482625774",3,"43.539690966","16.482625774"
"386","Salonae","43.539713743,16.491680145",3,"43.539713743","16.491680145"
"387","Salonae","43.540888104,16.486707329",3,"43.540888104","16.486707329"
"388","Salonae","43.541231964,16.464231950",3,"43.541231964","16.464231950"
"389","Salonae, aus?","43.515895497,16.435110058",3,"43.515895497","16.435110058"
"390","Salonae, bei","43.508092019,16.440474986",3,"43.508092019","16.440474986"
"391","Salonae, bei","43.508140745,16.438987765",3,"43.508140745","16.438987765"
"392","Salonae, bei","43.508343814,16.439575552",3,"43.508343814","16.439575552"
"393","Salonae, bei","43.509654759,16.434001922",3,"43.509654759","16.434001922"
"394","Salonae, bei","43.509678659,16.438028301",3,"43.509678659","16.438028301"
"395","Salonae, bei","43.513272899,16.438829898",3,"43.513272899","16.438829898"
"396","Salonae, bei","43.517715522,16.556160449",3,"43.517715522","16.556160449"
"397","Salonae, bei","43.523392,16.566466",3,"43.523392","16.566466"
"398","Salonae, bei","43.529866875,16.496872901",3,"43.529866875","16.496872901"
"399","Salonae, bei","43.5316671,16.4629316",3,"43.5316671","16.4629316"
"400","Salonae, bei","43.531671476,16.474208235",3,"43.531671476","16.474208235"
"401","Salonae, bei","43.534681619,16.484770774",3,"43.534681619","16.484770774"
"402","Salonae, bei","43.537200511,16.471390383",3,"43.537200511","16.471390383"
"403","Salonae, bei","43.539041002,16.474417448",3,"43.539041002","16.474417448"
"404","Salonae, bei","43.539429871,16.477251393",3,"43.539429871","16.477251393"
"405","Salonae, bei","43.539752629,16.477469801",3,"43.539752629","16.477469801"
"406","Salonae, bei","43.540553686,16.447048187",3,"43.540553686","16.447048187"
"407","Salonae, bei","43.541537493,16.473221182",3,"43.541537493","16.473221182"
"408","Salonae, bei","43.541755250,16.483515501",3,"43.541755250","16.483515501"
"409","Salonae, bei","43.541798024,16.481907963",3,"43.541798024","16.481907963"
"410","Salonae, bei","43.542000226,16.482850313",3,"43.542000226","16.482850313"
"411","Salonae, bei","43.542093550,16.483676433",3,"43.542093550","16.483676433"
"412","Salonae, bei","43.542377410,16.481949090",3,"43.542377410","16.481949090"
"413","Salonae, bei","43.543656706,16.475318670",3,"43.543656706","16.475318670"
"414","Salonae, bei","43.543761693,16.475120186",3,"43.543761693","16.475120186"
"415","Salonae, bei","43.544007,16.475130",3,"43.544007","16.475130"
"416","Salonae, bei","43.544068875,16.486370048",3,"43.544068875","16.486370048"
"417","Salonae, bei","43.544286623,16.492795944",3,"43.544286623","16.492795944"
"418","Salonae, bei","43.5470909,16.426755800",3,"43.5470909","16.426755800"
"419","Salonae, bei","43.5501938,16.384884199",3,"43.5501938","16.384884199"
"420","Salonae, bei","43.554090963,16.497334241",3,"43.554090963","16.497334241"
"421","Salonae, bei","43.555388153,16.513474061",3,"43.555388153","16.513474061"
"422","Salonae, bei","43.555442731,16.513531207",3,"43.555442731","16.513531207"
"423","Salonae, bei","43.556126800,16.539405584",3,"43.556126800","16.539405584"
"424","Salonae, bei","43.562667967,16.498174663",3,"43.562667967","16.498174663"
"425","Scardona, bei","43.818821938,15.922821163",3,"43.818821938","15.922821163"
"426","Scardona?","43.817902,15.923047",3,"43.817902","15.923047"
"427","Siculi, bei","43.545169273,16.298089027",3,"43.545169273","16.298089027"
"428","Siculi, bei","43.548984342,16.333451267",3,"43.548984342","16.333451267"
"429","Siculi, bei","43.549356826,16.291694641",3,"43.549356826","16.291694641"
"430","Tarsatica","45.330944052,14.457333428",3,"45.330944052","14.457333428"
"431","Tilurium, bei","43.614617185,16.728064566",3,"43.614617185","16.728064566"
"432","Acruvium","42.423424838,18.771461248",2,"42.423424838","18.771461248"
"433","Acruvium","42.424185135,18.771514892",2,"42.424185135","18.771514892"
"434","Acruvium, bei","42.4559595,18.682512699",2,"42.4559595","18.682512699"
"435","Ad Turres","43.0999803,17.6994962",2,"43.0999803","17.6994962"
"436","Ad Turres, bei","43.107977939,17.712707519",2,"43.107977939","17.712707519"
"437","Aenona","44.236582699,15.208725929",2,"44.236582699","15.208725929"
"438","Aenona","44.242493581,15.191774368",2,"44.242493581","15.191774368"
"439","Aenona","44.242860320,15.186574716",2,"44.242860320","15.186574716"
"440","Aenona","44.243800198,15.185374617",2,"44.243800198","15.185374617"
"441","Aenona","44.248027289,15.185251235",2,"44.248027289","15.185251235"
"442","Aenona, bei","44.1868095,15.1613417",2,"44.1868095","15.1613417"
"443","Aequum","43.742348193,16.654747665",2,"43.742348193","16.654747665"
"444","Aequum, bei","43.7117958,16.661303999",2,"43.7117958","16.661303999"
"445","Aequum, bei","43.7289502,16.641733100",2,"43.7289502","16.641733100"
"446","Aequum, bei","43.781443438,16.563391685",2,"43.781443438","16.563391685"
"447","Aequum, bei","43.809278480,16.630431587",2,"43.809278480","16.630431587"
"448","Aequum, bei?","43.702943,16.637528599",2,"43.702943","16.637528599"
"449","Albona","45.098633,14.115745",2,"45.098633","14.115745"
"450","Andetrium","43.690901100,16.483097076",2,"43.690901100","16.483097076"
"451","Andetrium, bei","43.692196634,16.520583629",2,"43.692196634","16.520583629"
"452","Ansium","44.178839044,15.665473937",2,"44.178839044","15.665473937"
"453","Ansium, bei","44.180628219,15.648994451",2,"44.180628219","15.648994451"
"454","Apsorus","44.694537376,14.395262513",2,"44.694537376","14.395262513"
"455","Apsorus","44.695167126,14.392456156",2,"44.695167126","14.392456156"
"456","Argyruntum, bei","44.295051999,15.440270999",2,"44.295051999","15.440270999"
"457","Arupium","44.843090161,15.270524024",2,"44.843090161","15.270524024"
"458","Arupium, bei","44.842816302,15.278935432",2,"44.842816302","15.278935432"
"459","Arupium, bei","44.861443363,15.304502248",2,"44.861443363","15.304502248"
"460","Arupium, bei","44.884966152,15.346080780",2,"44.884966152","15.346080780"
"461","Asseria","44.0097149,15.6682608",2,"44.0097149","15.6682608"
"462","Asseria","44.010815,15.666434",2,"44.010815","15.666434"
"463","Asseria, bei","43.98778,15.70667",2,"43.98778","15.70667"
"464","Asseria, bei","44.01028,15.68444",2,"44.01028","15.68444"
"465","Asseria, bei","44.024747731,15.664407183",2,"44.024747731","15.664407183"
"466","Avendo","44.919990238,15.144676732",2,"44.919990238","15.144676732"
"467","Baloie","44.285007780,17.100906372",2,"44.285007780","17.100906372"
"468","Bigeste","43.182359745,17.529026106",2,"43.182359745","17.529026106"
"469","Bigeste","43.182624360,17.523715493",2,"43.182624360","17.523715493"
"470","Bigeste - Narona, inter","43.134443999,17.556943999",2,"43.134443999","17.556943999"
"471","Bigeste, bei","43.17083,17.53917",2,"43.17083","17.53917"
"472","Bigeste, bei","43.1793253,17.517536599",2,"43.1793253","17.517536599"
"473","Bigeste, bei","43.19694,17.545",2,"43.19694","17.545"
"474","Brattia, insula","43.3239838,16.654819058",2,"43.3239838","16.654819058"
"475","Brattia, insula","43.343641315,16.544348001",2,"43.343641315","16.544348001"
"476","Brattia, insula","43.343641315,16.544353365",2,"43.343641315","16.544353365"
"477","Brattia, insula","43.377940981,16.603775024",2,"43.377940981","16.603775024"
"478","Burnum","44.018079860,16.025598049",2,"44.018079860","16.025598049"
"479","Burnum, bei","44.006200152,15.992454526",2,"44.006200152","15.992454526"
"480","Burnum, bei","44.017045997,16.021714210",2,"44.017045997","16.021714210"
"481","Burnum?","44.017940984,16.025061607",2,"44.017940984","16.025061607"
"482","Burnum?","44.017940984,16.025791168",2,"44.017940984","16.025791168"
"483","Buthoe, bei","42.208544003,18.939732312",2,"42.208544003","18.939732312"
"484","Cissa","44.5518243,14.92093",2,"44.5518243","14.92093"
"485","Corinium, bei","44.07333,15.66861",2,"44.07333","15.66861"
"486","Corinium, bei","44.181175499,15.548969800",2,"44.181175499","15.548969800"
"487","Crexa","44.960311419,14.408805370",2,"44.960311419","14.408805370"
"488","Crexa, bei","45.110480377,14.355602860",2,"45.110480377","14.355602860"
"489","Delminium, bei","43.5928149,17.318055299",2,"43.5928149","17.318055299"
"490","Delminium, bei","43.689858962,17.073926918",2,"43.689858962","17.073926918"
"491","Delminium, bei","43.709872214,17.240685354",2,"43.709872214","17.240685354"
"492","Delminium, bei","43.721054647,17.229452634",2,"43.721054647","17.229452634"
"493","Delminium, bei","43.736212105,17.267739162",2,"43.736212105","17.267739162"
"494","Doclea","42.467761205,19.265615344",2,"42.467761205","19.265615344"
"495","Doclea","42.468551490,19.265264511",2,"42.468551490","19.265264511"
"496","Doclea","42.469010506,19.261751175",2,"42.469010506","19.261751175"
"497","Doclea, bei","42.462705331,19.272422790",2,"42.462705331","19.272422790"
"498","Doclea, bei","42.465916038,19.299473762",2,"42.465916038","19.299473762"
"499","Doclea, bei","42.469152959,19.261078832",2,"42.469152959","19.261078832"
"500","Epetium","43.498246474,16.523673534",2,"43.498246474","16.523673534"
"501","Epetium","43.498635605,16.523523330",2,"43.498635605","16.523523330"
"502","Epetium, aus?","43.507784654,16.443929672",2,"43.507784654","16.443929672"
"503","Epetium, bei","43.508510915,16.487981379",2,"43.508510915","16.487981379"
"504","Epetium, bei","43.509378527,16.522344691",2,"43.509378527","16.522344691"
"505","Epetium, bei","43.512642658,16.517635304",2,"43.512642658","16.517635304"
"506","Epidaurum","42.582161375,18.224391147",2,"42.582161375","18.224391147"
"507","Epidaurum","42.583526057,18.214453083",2,"42.583526057","18.214453083"
"508","Epidaurum, bei","42.581009999,18.218868000",2,"42.581009999","18.218868000"
"509","Flanona","45.137894848,14.178713985",2,"45.137894848","14.178713985"
"510","Flanona","45.138222655,14.180137087",2,"45.138222655","14.180137087"
"511","Flanona","45.138302029,14.179197549",2,"45.138302029","14.179197549"
"512","Flanona","45.143109953,14.175402511",2,"45.143109953","14.175402511"
"513","Iader","44.108596312,15.237586498",2,"44.108596312","15.237586498"
"514","Iader","44.108809441,15.237379072",2,"44.108809441","15.237379072"
"515","Iader","44.110056114,15.237613320",2,"44.110056114","15.237613320"
"516","Iader","44.110499055,15.229282379",2,"44.110499055","15.229282379"
"517","Iader","44.113380016,15.228697657",2,"44.113380016","15.228697657"
"518","Iader","44.113507114,15.226911306",2,"44.113507114","15.226911306"
"519","Iader","44.115082336,15.224883556",2,"44.115082336","15.224883556"
"520","Iader","44.115271052,15.224835276",2,"44.115271052","15.224835276"
"521","Iader","44.115290308,15.224958658",2,"44.115290308","15.224958658"
"522","Iader","44.116638259,15.226519703",2,"44.116638259","15.226519703"
"523","Iader, bei","44.070768,15.286269",2,"44.070768","15.286269"
"524","In Alperio, bei","43.808579442,16.804904935",2,"43.808579442","16.804904935"
"525","Issa, insula","43.062350724,16.188611984",2,"43.062350724","16.188611984"
"526","Issa, insula","43.063610114,16.183894873",2,"43.063610114","16.183894873"
"527","Issa, insula","43.063672822,16.185164452",2,"43.063672822","16.185164452"
"528","Lopsica","44.928349115,14.920120239",2,"44.928349115","14.920120239"
"529","Metulum, bei","45.169436665,15.293097496",2,"45.169436665","15.293097496"
"530","Metulum, bei","45.179253845,15.287818908",2,"45.179253845","15.287818908"
"531","Metulum, bei","45.193177027,15.314753143",2,"45.193177027","15.314753143"
"532","Metulum, bei","45.202249760,15.300875659",2,"45.202249760","15.300875659"
"533","Muccurum, bei","43.291201169,17.023315429",2,"43.291201169","17.023315429"
"534","Municipium Magnum, bei","43.7294081,16.3752788",2,"43.7294081","16.3752788"
"535","Municipium Magnum, bei","43.804744183,16.298832892",2,"43.804744183","16.298832892"
"536","Municipium Malvesiatium, bei","43.61781,19.36719",2,"43.61781","19.36719"
"537","Municipium Malvesiatium, bei","43.817509788,20.106895565",2,"43.817509788","20.106895565"
"538","Municipium Malvesiatium, bei","43.8328414,20.002432300",2,"43.8328414","20.002432300"
"539","Municipium Malvesiatium, bei","43.845111899,20.038804400",2,"43.845111899","20.038804400"
"540","Municipium Malvesiatium, bei","43.987982451,19.555814266",2,"43.987982451","19.555814266"
"541","Municipium Malvesiatium, bei","44.005716689,19.579040050",2,"44.005716689","19.579040050"
"542","Municipium S[---]","43.342217890,19.320550816",2,"43.342217890","19.320550816"
"543","Municipium S[---], bei","43.34861,19.32833",2,"43.34861","19.32833"
"544","Municipium S[---], bei","43.351510232,19.298993519",2,"43.351510232","19.298993519"
"545","Municipium S[---], bei","43.356326374,19.357231174",2,"43.356326374","19.357231174"
"546","Municipium Salvium, bei","44.031983820,16.883096694",2,"44.031983820","16.883096694"
"547","Municipium Salvium, bei","44.032004999,16.882965399",2,"44.032004999","16.882965399"
"548","Municipium Salvium, bei","44.0878378,16.901757500",2,"44.0878378","16.901757500"
"549","Nareste","43.451528075,16.626380681",2,"43.451528075","16.626380681"
"550","Nareste","43.459266178,16.628943085",2,"43.459266178","16.628943085"
"551","Narona","43.080415707,17.626386808",2,"43.080415707","17.626386808"
"552","Narona","43.080491801,17.629051208",2,"43.080491801","17.629051208"
"553","Narona","43.081176166,17.624130249",2,"43.081176166","17.624130249"
"554","Narona, bei","43.081176166,17.625074386",2,"43.081176166","17.625074386"
"555","Narona, bei","43.0929835,17.6364713",2,"43.0929835","17.6364713"
"556","Nedinum, bei","44.1147665,15.5383781",2,"44.1147665","15.5383781"
"557","Nedinum, bei","44.128365221,15.505295946",2,"44.128365221","15.505295946"
"558","Nigra Corcyra, insula","42.9282998,16.8938571",2,"42.9282998","16.8938571"
"559","Ninia","44.04389,16.2",2,"44.04389","16.2"
"560","Novae, bei","43.4305128,17.1950354",2,"43.4305128","17.1950354"
"561","Pelva","43.870912486,16.777811050",2,"43.870912486","16.777811050"
"562","Pelva","43.871765333,16.775715351",2,"43.871765333","16.775715351"
"563","Pelva","43.8762223,16.7704676",2,"43.8762223","16.7704676"
"564","Pharia, insula","43.1725,16.44278",2,"43.1725","16.44278"
"565","Pharus, bei","43.177128493,16.614473973",2,"43.177128493","16.614473973"
"566","Pituntium","43.474095979,16.568087338",2,"43.474095979","16.568087338"
"567","Raetinium, bei?","44.844429010,15.903589725",2,"44.844429010","15.903589725"
"568","Raetinium, bei?","44.8884466,15.886704900",2,"44.8884466","15.886704900"
"569","Raetinium?","44.785289223,15.925652502",2,"44.785289223","15.925652502"
"570","Raetinium?","44.785989782,15.923747063",2,"44.785989782","15.923747063"
"571","Raetinium?","44.785992828,15.923985242",2,"44.785992828","15.923985242"
"572","Rider","43.703048542,16.039963960",2,"43.703048542","16.039963960"
"573","Rider","43.703137738,16.039888858",2,"43.703137738","16.039888858"
"574","Rider","43.703361005,16.046724659",2,"43.703361005","16.046724659"
"575","Rider","43.703369869,16.046736920",2,"43.703369869","16.046736920"
"576","Rider","43.703396462,16.046819686",2,"43.703396462","16.046819686"
"577","Rider, bei","43.727056932,15.992746353",2,"43.727056932","15.992746353"
"578","Risinium","42.509762487,18.696885108",2,"42.509762487","18.696885108"
"579","Risinium","42.513929017,18.697015643",2,"42.513929017","18.697015643"
"580","Risinium","42.514570909,18.695801496",2,"42.514570909","18.695801496"
"581","Risinium","42.5149792,18.6955649",2,"42.5149792","18.6955649"
"582","Risinium","42.516777281,18.693979382",2,"42.516777281","18.693979382"
"583","Risinium, bei","42.485675270,18.690640926",2,"42.485675270","18.690640926"
"584","Risinium, bei","42.487827281,18.697400093",2,"42.487827281","18.697400093"
"585","Risinium, bei","42.4914497,18.758611299",2,"42.4914497","18.758611299"
"586","Salonae","43.534829399,16.481852531",2,"43.534829399","16.481852531"
"587","Salonae","43.535249406,16.491154432",2,"43.535249406","16.491154432"
"588","Salonae","43.535739411,16.489012241",2,"43.535739411","16.489012241"
"589","Salonae","43.535918300,16.480822563",2,"43.535918300","16.480822563"
"590","Salonae","43.535926078,16.482753753",2,"43.535926078","16.482753753"
"591","Salonae","43.536944960,16.488633155",2,"43.536944960","16.488633155"
"592","Salonae","43.536973848,16.483904804",2,"43.536973848","16.483904804"
"593","Salonae","43.537411618,16.483880281",2,"43.537411618","16.483880281"
"594","Salonae","43.537722721,16.484342142",2,"43.537722721","16.484342142"
"595","Salonae","43.537809385,16.482726165",2,"43.537809385","16.482726165"
"596","Salonae","43.537862717,16.483807861",2,"43.537862717","16.483807861"
"597","Salonae","43.538215297,16.483199000",2,"43.538215297","16.483199000"
"598","Salonae","43.538316590,16.483634284",2,"43.538316590","16.483634284"
"599","Salonae","43.538333256,16.483268737",2,"43.538333256","16.483268737"
"600","Salonae","43.538366018,16.474164962",2,"43.538366018","16.474164962"
"601","Salonae","43.538418808,16.482340693",2,"43.538418808","16.482340693"
"602","Salonae","43.538427697,16.482462542",2,"43.538427697","16.482462542"
"603","Salonae","43.538521582,16.483648845",2,"43.538521582","16.483648845"
"604","Salonae","43.538538063,16.490841508",2,"43.538538063","16.490841508"
"605","Salonae","43.538644354,16.482329964",2,"43.538644354","16.482329964"
"606","Salonae","43.539153774,16.485457420",2,"43.539153774","16.485457420"
"607","Salonae","43.539367652,16.482877135",2,"43.539367652","16.482877135"
"608","Salonae","43.539468757,16.484116315",2,"43.539468757","16.484116315"
"609","Salonae","43.539943173,16.483306288",2,"43.539943173","16.483306288"
"610","Salonae","43.540709229,16.486852169",2,"43.540709229","16.486852169"
"611","Salonae","43.540963653,16.487590926",2,"43.540963653","16.487590926"
"612","Salonae","43.541368536,16.491498636",2,"43.541368536","16.491498636"
"613","Salonae","43.541564712,16.491363644",2,"43.541564712","16.491363644"
"614","Salonae","43.541799135,16.487271360",2,"43.541799135","16.487271360"
"615","Salonae, bei","43.501163600,16.425236463",2,"43.501163600","16.425236463"
"616","Salonae, bei","43.501315354,16.425712108",2,"43.501315354","16.425712108"
"617","Salonae, bei","43.507754825,16.440056562",2,"43.507754825","16.440056562"
"618","Salonae, bei","43.507923422,16.441501379",2,"43.507923422","16.441501379"
"619","Salonae, bei","43.508175762,16.440150557",2,"43.508175762","16.440150557"
"620","Salonae, bei","43.508335835,16.439586281",2,"43.508335835","16.439586281"
"621","Salonae, bei","43.5084736,16.4700776",2,"43.5084736","16.4700776"
"622","Salonae, bei","43.509146813,16.439334154",2,"43.509146813","16.439334154"
"623","Salonae, bei","43.509175103,16.440695183",2,"43.509175103","16.440695183"
"624","Salonae, bei","43.509484129,16.440164106",2,"43.509484129","16.440164106"
"625","Salonae, bei","43.509497468,16.440140349",2,"43.509497468","16.440140349"
"626","Salonae, bei","43.509697556,16.434978246",2,"43.509697556","16.434978246"
"627","Salonae, bei","43.530579381,16.475372314",2,"43.530579381","16.475372314"
"628","Salonae, bei","43.530901416,16.474133133",2,"43.530901416","16.474133133"
"629","Salonae, bei","43.531150325,16.475307941",2,"43.531150325","16.475307941"
"630","Salonae, bei","43.531710368,16.464427702",2,"43.531710368","16.464427702"
"631","Salonae, bei","43.531718146,16.464450359",2,"43.531718146","16.464450359"
"632","Salonae, bei","43.531741481,16.464428761",2,"43.531741481","16.464428761"
"633","Salonae, bei","43.531753149,16.464471817",2,"43.531753149","16.464471817"
"634","Salonae, bei","43.531774817,16.473450319",2,"43.531774817","16.473450319"
"635","Salonae, bei","43.533421577,16.517577626",2,"43.533421577","16.517577626"
"636","Salonae, bei","43.534859400,16.490461656",2,"43.534859400","16.490461656"
"637","Salonae, bei","43.536387558,16.489505768",2,"43.536387558","16.489505768"
"638","Salonae, bei","43.537100513,16.491508483",2,"43.537100513","16.491508483"
"639","Salonae, bei","43.539422649,16.477737256",2,"43.539422649","16.477737256"
"640","Salonae, bei","43.540398141,16.484835147",2,"43.540398141","16.484835147"
"641","Salonae, bei","43.541160304,16.491637229",2,"43.541160304","16.491637229"
"642","Salonae, bei","43.541168081,16.480854749",2,"43.541168081","16.480854749"
"643","Salonae, bei","43.541342510,16.491494689",2,"43.541342510","16.491494689"
"644","Salonae, bei","43.541518050,16.483365297",2,"43.541518050","16.483365297"
"645","Salonae, bei","43.541561379,16.492411239",2,"43.541561379","16.492411239"
"646","Salonae, bei","43.541698960,16.481989324",2,"43.541698960","16.481989324"
"647","Salonae, bei","43.541941,16.483272",2,"43.541941","16.483272"
"648","Salonae, bei","43.542019669,16.482877135",2,"43.542019669","16.482877135"
"649","Salonae, bei","43.542031334,16.483633518",2,"43.542031334","16.483633518"
"650","Salonae, bei","43.542057,16.483440",2,"43.542057","16.483440"
"651","Salonae, bei","43.542093550,16.483772993",2,"43.542093550","16.483772993"
"652","Salonae, bei","43.542116881,16.482844948",2,"43.542116881","16.482844948"
"653","Salonae, bei","43.542116881,16.482855677",2,"43.542116881","16.482855677"
"654","Salonae, bei","43.542233536,16.482914686",2,"43.542233536","16.482914686"
"655","Salonae, bei","43.543520612,16.475468873",2,"43.543520612","16.475468873"
"656","Salonae, bei","43.543689757,16.475635170",2,"43.543689757","16.475635170"
"657","Salonae, bei","43.543726697,16.475324034",2,"43.543726697","16.475324034"
"658","Salonae, bei","43.543839593,16.474995287",2,"43.543839593","16.474995287"
"659","Salonae, bei","43.543932781,16.475479602",2,"43.543932781","16.475479602"
"660","Salonae, bei","43.543987219,16.475440263",2,"43.543987219","16.475440263"
"661","Salonae, bei","43.544068875,16.475452780",2,"43.544068875","16.475452780"
"662","Salonae, bei","43.547739384,16.501893997",2,"43.547739384","16.501893997"
"663","Salonae, bei","43.548796947,16.444301605",2,"43.548796947","16.444301605"
"664","Salonae, bei","43.549286841,16.490339040",2,"43.549286841","16.490339040"
"665","Salonae, bei","43.555001979,16.498947143",2,"43.555001979","16.498947143"
"666","Salonae, bei","43.560171241,16.442321367",2,"43.560171241","16.442321367"
"667","Salonae, bei","43.560731014,16.522428989",2,"43.560731014","16.522428989"
"668","Salonae, bei","43.564093245,16.526670455",2,"43.564093245","16.526670455"
"669","Salonae, bei","43.634431,16.595492",2,"43.634431","16.595492"
"670","Salonae. bei","43.508405867,16.440331935",2,"43.508405867","16.440331935"
"671","Scardona","43.8176614,15.921027999",2,"43.8176614","15.921027999"
"672","Scardona","43.818112475,15.926292209",2,"43.818112475","15.926292209"
"673","Senia","44.984632556,14.935099822",2,"44.984632556","14.935099822"
"674","Senia","44.989672340,14.902503490",2,"44.989672340","14.902503490"
"675","Siculi","43.545142055,16.307337284",2,"43.545142055","16.307337284"
"676","Siculi, bei","43.5469021,16.329919399",2,"43.5469021","16.329919399"
"677","Tarsatica","45.327778,14.444420",2,"45.327778","14.444420"
"678","Tilurium","43.612599968,16.713868131",2,"43.612599968","16.713868131"
"679","Tilurium","43.612848540,16.714833726",2,"43.612848540","16.714833726"
"680","Tilurium, bei","43.619009622,16.723166853",2,"43.619009622","16.723166853"
"681","Tragurium","43.51709,16.25135",2,"43.51709","16.25135"
"682","Tragurium, bei","43.517725,16.250658",2,"43.517725","16.250658"
"683","Tragurium, bei","43.518057847,16.249613076",2,"43.518057847","16.249613076"
"684","(Domavium) Ad Drinum?, bei","44.3664289,19.114136899",1,"44.3664289","19.114136899"
"685","Acruvium","42.424181175,18.771611452",1,"42.424181175","18.771611452"
"686","Acruvium","42.424351449,18.772104978",1,"42.424351449","18.772104978"
"687","Acruvium, bei","42.351725665,18.705552066",1,"42.351725665","18.705552066"
"688","Acruvium, bei","42.3930103,18.670264099",1,"42.3930103","18.670264099"
"689","Acruvium, bei","42.404319352,18.713836669",1,"42.404319352","18.713836669"
"690","Acruvium, bei","42.4060314,18.704041500",1,"42.4060314","18.704041500"
"691","Acruvium, bei","42.406431154,18.703342335",1,"42.406431154","18.703342335"
"692","Acruvium, bei","42.417130915,18.768854141",1,"42.417130915","18.768854141"
"693","Acruvium, bei","42.418328,18.763066",1,"42.418328","18.763066"
"694","Acruvium, bei","42.431633182,18.767543690",1,"42.431633182","18.767543690"
"695","Acruvium, bei","42.443848279,18.689010143",1,"42.443848279","18.689010143"
"696","Acruvium, bei","42.452527334,18.748930692",1,"42.452527334","18.748930692"
"697","Acruvium, bei?","42.453227908,18.748018741",1,"42.453227908","18.748018741"
"698","Acruvium?","42.418328,18.763066",1,"42.418328","18.763066"
"699","Ad Dianam (Salonae, bei)","43.508510915,16.389144659",1,"43.508510915","16.389144659"
"700","Ad Turres","45.171584791,14.694165587",1,"45.171584791","14.694165587"
"701","Ad Turres, bei","43.0166042,17.811317000",1,"43.0166042","17.811317000"
"702","Ad Turres, bei","43.099494461,17.721755505",1,"43.099494461","17.721755505"
"703","Ad Turres, bei","43.099523185,17.721744776",1,"43.099523185","17.721744776"
"704","Ad Turres, bei","43.105233051,17.733263969",1,"43.105233051","17.733263969"
"705","Ad Turres, bei","43.1144899,17.7151826",1,"43.1144899","17.7151826"
"706","Ad Turres, bei","43.115677069,17.706992625",1,"43.115677069","17.706992625"
"707","Ad Turres, bei","43.1273849,17.715370399",1,"43.1273849","17.715370399"
"708","Ad Turres, bei","43.160433,17.7509734",1,"43.160433","17.7509734"
"709","Ad Turres, bei?","43.0995,17.699700000",1,"43.0995","17.699700000"
"710","Aenona","44.241259955,15.183514709",1,"44.241259955","15.183514709"
"711","Aenona","44.241555874,15.181989669",1,"44.241555874","15.181989669"
"712","Aenona","44.242447465,15.183690190",1,"44.242447465","15.183690190"
"713","Aenona","44.242524326,15.183598995",1,"44.242524326","15.183598995"
"714","Aenona","44.242524726,15.183582007",1,"44.242524726","15.183582007"
"715","Aenona","44.242525126,15.183522104",1,"44.242525126","15.183522104"
"716","Aenona","44.243923172,15.183749198",1,"44.243923172","15.183749198"
"717","Aenona","44.255658341,15.150607824",1,"44.255658341","15.150607824"
"718","Aenona, bei","44.2430736,15.1840255",1,"44.2430736","15.1840255"
"719","Aenona, bei","44.260952617,15.235505104",1,"44.260952617","15.235505104"
"720","Aenona, bei","44.261637382,15.118585800",1,"44.261637382","15.118585800"
"721","Aenona, bei","44.262375000,15.118585800",1,"44.262375000","15.118585800"
"722","Aenona?","44.243529,15.184150",1,"44.243529","15.184150"
"723","Aequum","43.7431233,16.654983700",1,"43.7431233","16.654983700"
"724","Aequum","43.744735489,16.656485737",1,"43.744735489","16.656485737"
"725","Aequum, bei","43.672833190,16.649100530",1,"43.672833190","16.649100530"
"726","Aequum, bei","43.677427,16.656567799",1,"43.677427","16.656567799"
"727","Aequum, bei","43.7011986,16.639696100",1,"43.7011986","16.639696100"
"728","Aequum, bei","43.701966,16.637921",1,"43.701966","16.637921"
"729","Aequum, bei","43.735253967,16.692836914",1,"43.735253967","16.692836914"
"730","Aequum, bei","43.743123299,16.654983700",1,"43.743123299","16.654983700"
"731","Aequum, bei","43.779624195,16.648124968",1,"43.779624195","16.648124968"
"732","Aequum, bei","43.8333226,16.5555642",1,"43.8333226","16.5555642"
"733","Aequum, bei","43.834208375,16.568805158",1,"43.834208375","16.568805158"
"734","Aequum, bei - Tilurium, bei","43.677427,16.656567799",1,"43.677427","16.656567799"
"735","Aequum, bei?","43.701966,16.637921",1,"43.701966","16.637921"
"736","Aequum?","43.740809344,16.654715538",1,"43.740809344","16.654715538"
"737","Albona","45.085854129,14.124103188",1,"45.085854129","14.124103188"
"738","Albona, bei","45.045995436,14.143610000",1,"45.045995436","14.143610000"
"739","Albona, bei","45.073850617,14.162448627",1,"45.073850617","14.162448627"
"740","Albona, bei","45.073860494,14.162443135",1,"45.073860494","14.162443135"
