"EDCS-ID","publication","province","place","dating_from","dating_to","date_not_before","date_not_after","status","inscription","inscription_conservative_cleaning","inscription_interpretive_cleaning","material","comment","latitude","longitude","language","photo","partner_link","extra_text","extra_html","raw_dating","cleaned_place"
"EDCS-10101984","CIL 17-04, 00355 = ILJug-03, 02978","Dalmatia","Hardomilje / Bigeste","","","","","miliaria","?","","","lapis",NA,"43.1575578","17.5493918","",NA,"","","",NA,"Bigeste"
"EDCS-78300707","Lupa 30371","Dalmatia","Hardomilje / Bigeste","","","","","tituli sepulcrales","]onia[1] / [3]CLAMA / [3 ex testa]ment(o) / [","onia CLAMA ment","onia CLAMA ex testamento","lapis",NA,"43.1575578","17.5493918","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_30371","","",NA,"Bigeste"
"EDCS-56900031","OpuscArchZagreb-1997-89","Dalmatia","Hardomilje / Bigeste","","","","","tituli sepulcrales","]R[3] / [3]mus[","R mus","R mus",NA,NA,"43.1575578","17.5493918","",NA,"","","",NA,"Bigeste"
"EDCS-57300176","Kurilic 00123","Dalmatia","Hrvace","","","","","milites;  tituli sepulcrales;  viri","] veteran(us) L(ucius) Vettius [","veteran L Vettius","veteranus Lucius Vettius",NA,NA,"43.7559711","16.6189503","",NA,"","","",NA,"Hrvace"
"EDCS-10100862","ILJug-03, 01918","Dalmatia","Humac / Bigeste","","","","","ordo decurionum;  tituli sepulcrales;  viri","]IVvir [","IV vir","IV vir",NA,NA,"43.1878539","17.5296549","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034236","","",NA,"Bigeste"
"EDCS-75700070","Lupa 23814","Dalmatia","Humac / Bigeste","","","","","tituli sepulcrales","] / A[3] / H() P() [3] / st[3] / vi[xit a]/n(nos) X[","A H P st vin X","A H P st vixit annos X","lapis",NA,"43.1878539","17.5296549","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_23814","","",NA,"Bigeste"
"EDCS-75300233","AE 2016, 01207* = EpRom 2016_31_006","Dalmatia","Ivosevci / Burnum","","","","","milites;  tituli sepulcrales;  tria nomina;  viri","] leg(ionis) XI / [a]nn(orum) XLV stip(endiorum) XXI / C(aius) Aemilius C(ai) f(ilius) / [Ma]rcellus ann(orum) XIIX / [pa]ter et filius / [h(ic) s(itus)] e(st!)","leg XI nn XLV stip XXI C Aemilius C f rcellus ann XIIX ter et filius e","legionis XI annorum XLV stipendiorum XXI Caius Aemilius Cai filius Marcellus annorum XIIX pater et filius hic situs est","lapis","cf. CIL 03, 02832","44.0160408","16.0072244","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=er_22731","","",NA,"Burnum"
"EDCS-28300166","CIL 03, 02837","Dalmatia","Ivosevci / Burnum","","","","","tituli sepulcrales;  tria nomina;  viri","P(ublius) Gavius / P(ubli) f(ilius) Scaptia / Bassus [Fl]o/[rentia","P Gavius P f Scaptia Bassus orentia","Publius Gavius Publi filius Scaptia Bassus Florentia",NA,NA,"44.0160408","16.0072244","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD061409","","",NA,"Burnum"
"EDCS-31400471","CIL 03, 13344,1","Dalmatia","Ivosevci / Burnum","","","","","tituli possessionis","Acium Celae","Acium Celae","Acium Celae","gemma",NA,"44.0160408","16.0072244","",NA,"","","",NA,"Burnum"
"EDCS-31400472","CIL 03, 13344,3","Dalmatia","Ivosevci / Burnum","","","","","praenomen et nomen;  tituli possessionis;  viri","A(ulus) Cl(audius)","A Cl","Aulus Claudius","gemma",NA,"44.0160408","16.0072244","",NA,"","","",NA,"Burnum"
