"EDCS-ID","publication","province","place","dating_from","dating_to","date_not_before","date_not_after","status","inscription","inscription_conservative_cleaning","inscription_interpretive_cleaning","material","comment","latitude","longitude","language","photo","partner_link","extra_text","extra_html","raw_dating","cleaned_place"
"EDCS-31200518","CIL 03, 15021 = CIL 03, 15034 = AE 1908, 00193","Dalmatia","Burnum","113","113","113","113","Augusti/Augustae;  tituli honorarii;  tituli sacri;  tria nomina;  viri","Imp(eratori) Caesari divi Nervae f(ilio) / Nervae Traiano Optimo / Aug(usto) Germ(anico) Dacico pont(ifici) max(imo) / trib(unicia) pot(estate) XVII imp(eratori) VI co(n)s(uli) VI p(atri) p(atriae) // L(ucius) Laelius L(uci) f(ilius) Proculus / t(estamento) f(ieri) i(ussit) epuloque dedicari","Imp Caesari divi Nervae f Nervae Traiano Optimo Aug Germ Dacico pont max trib pot XVII imp VI cos VI p p L Laelius L f Proculus t f i epulo que dedicari","Imperatori Caesari divi Nervae filio Nervae Traiano Optimo Augusto Germanico Dacico pontifici maximo tribunicia potestate XVII imperatori VI consuli VI patri patriae Lucius Laelius Luci filius Proculus testamento fieri iussit epulo que dedicari",NA,NA,"44.0183606","16.0181762","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_AE_1908_00193_1.jpg;$M_AE_1908_00193_2.jpg;$M_AE_1908_00193_3.jpg;$M_AE_1908_00193_4.jpg;$M_AE_1908_00193_5.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD020759;lu_20008;lu_22882;1ae1908-47","","","113 to 113","Burnum"
"EDCS-31200521","CIL 03, 15024","Dalmatia","Burnum","1","70","1","70","milites;  tituli operum;  tria nomina;  viri","T(itus) Iulius / T(iti) f(ilius) Cla(udia) / C[el]er / [3 l]eg(ionis) II Aug(usta) / [ar]am ex / [HS] XX(milibus) test(amento) / f[ier]i iussit","T Iulius T f Cla Cer eg II Aug am ex XX test fi iussit","Titus Iulius Titi filius Claudia Celer legionis II Augusta aram ex HS XXmilibus testamento fieri iussit",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057585","","","1 to 70","Burnum"
"EDCS-31200524","CIL 03, 15027 = ILJug-03, 02834","Dalmatia","Burnum","51","100","51","100","ordo decurionum;  sacerdotes pagani;  tituli operum;  viri","] dec(urio) augur porticum / t(estamento) f(ieri) i(usiit) ex HS LXXX(milibus)","dec augur porticum t f i ex HS LXXX","decurio augur porticum testamento fieri iusiit ex HS LXXXmilibus","lapis",NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD035424","","","51 to 100","Burnum"
"EDCS-31200525","CIL 03, 15028","Dalmatia","Burnum","1","150","1","150","milites;  mulieres;  ordo decurionum;  tituli sepulcrales;  tria nomina;  viri","de]curi[oni 3] / [3 Arr]untia(?) [3] / [Flore]ntin[a(?)","decuri untia ntina","decurioni Arruntia Florentina",NA,NA,"44.0183606","16.0181762","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD051035;lu_23116","","","1 to 150","Burnum"
"EDCS-31200527","CIL 03, 15029a","Dalmatia","Burnum","1","150","1","150","tituli sepulcrales;  tria nomina;  viri","L(ucius) Antes[tius] / L(uci) f(ilius) Secun[dus] / [","L Antes L f Secun","Lucius Antestius Luci filius Secundus",NA,NA,"44.0183606","16.0181762","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057605;lu_22976","","","1 to 150","Burnum"
"EDCS-31200528","CIL 03, 15029b","Dalmatia","Burnum","1","150","1","150","tituli sepulcrales;  tria nomina;  viri","C(aio) Arrun/tio Celeri / C(aius) Arrunt/{t}ius Seda/tus pater","C Arruntio Celeri C Arrunttius Sedatus pater","Caio Arruntio Celeri Caius Arruntius Sedatus pater",NA,NA,"44.0183606","16.0181762","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15029b.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD051032;lu_23254","","","1 to 150","Burnum"
"EDCS-31200529","CIL 03, 15030","Dalmatia","Burnum","101","150","101","150","tituli sepulcrales;  tria nomina;  viri","L(ucio) Arru[n]/tio / Maroni / [","L Arrutio Maroni","Lucio Arruntio Maroni",NA,NA,"44.0183606","16.0181762","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD051034;lu_22984","","","101 to 150","Burnum"
"EDCS-31200531","CIL 03, 15031","Dalmatia","Burnum","1","100","1","100","mulieres;  tituli sepulcrales;  tria nomina","Caesiae / T(iti) f(iliae) Tert<u=Y>llinae","Caesiae T f TertYllinae","Caesiae Titi filiae Tertullinae",NA,NA,"44.0183606","16.0181762","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15031.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057615;lu_23253","","","1 to 100","Burnum"
"EDCS-31200534","CIL 03, 15033","Dalmatia","Burnum","1","150","1","150","mulieres;  tituli sepulcrales;  tria nomina;  viri","Tito / Laelio / Maximo / an(norum) XIX Rosi[a] / Severa mater / f(ecit) p(ie)","Tito Laelio Maximo an XIX Rosi Severa mater f p","Tito Laelio Maximo annorum XIX Rosia Severa mater fecit pie",NA,NA,"44.0183606","16.0181762","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15033_1.jpg;$M_CIL_03_15033_2.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057576;lu_23244","","","1 to 150","Burnum"
"EDCS-31200538","CIL 03, 15036a","Dalmatia","Burnum","71","130","71","130","mulieres;  tituli sepulcrales;  tria nomina;  viri","C(aio) Oppio / C(ai) f(ilio) Cla(udia) / Clementi / Rusticel[lo(?)] / an(norum) XVI Baebi[a] / T(iti) f(ilia) Oppia mat[er] f(ilio) p(osuit)","C Oppio C f Cla Clementi Rusticel an XVI Baebi T f Oppia mat f p","Caio Oppio Cai filio Claudia Clementi Rusticello annorum XVI Baebia Titi filia Oppia mater filio posuit","lapis",NA,"44.0183606","16.0181762","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15036a_1.jpg;$M_CIL_03_15036a_2.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052482","","","71 to 130","Burnum"
"EDCS-31200545","CIL 03, 15039","Dalmatia","Burnum","1","150","1","150","tituli sepulcrales","]cenon[3] / [3 e]t sibi p[osuit // ]BRE[ // ]IDI[","cenon t sibi pBREIDI","cenon et sibi posuit BRE IDI",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043499","","","1 to 150","Burnum"
