"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude","photo"
"EDCS-31200527","CIL 03, 15029a","Dalmatia","Burnum","Burnum","1","150","tituli sepulcrales;  tria nomina;  viri","L(ucius) Antes[tius] / L(uci) f(ilius) Secun[dus] / [","Lucius Antestius Luci filius Secundus","44.0183606","16.0181762","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-31200528","CIL 03, 15029b","Dalmatia","Burnum","Burnum","1","150","tituli sepulcrales;  tria nomina;  viri","C(aio) Arrun/tio Celeri / C(aius) Arrunt/{t}ius Seda/tus pater","Caio Arruntio Celeri Caius Arruntius Sedatus pater","44.0183606","16.0181762","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15029b.jpg;pp"
"EDCS-31200531","CIL 03, 15031","Dalmatia","Burnum","Burnum","1","100","mulieres;  tituli sepulcrales;  tria nomina","Caesiae / T(iti) f(iliae) Tert<u=Y>llinae","Caesiae Titi filiae Tertullinae","44.0183606","16.0181762","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15031.jpg;pp"
"EDCS-31200534","CIL 03, 15033","Dalmatia","Burnum","Burnum","1","150","mulieres;  tituli sepulcrales;  tria nomina;  viri","Tito / Laelio / Maximo / an(norum) XIX Rosi[a] / Severa mater / f(ecit) p(ie)","Tito Laelio Maximo annorum XIX Rosia Severa mater fecit pie","44.0183606","16.0181762","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15033_1.jpg;$M_CIL_03_15033_2.jpg;pp"
"EDCS-31200538","CIL 03, 15036a","Dalmatia","Burnum","Burnum","71","130","mulieres;  tituli sepulcrales;  tria nomina;  viri","C(aio) Oppio / C(ai) f(ilio) Cla(udia) / Clementi / Rusticel[lo(?)] / an(norum) XVI Baebi[a] / T(iti) f(ilia) Oppia mat[er] f(ilio) p(osuit)","Caio Oppio Cai filio Claudia Clementi Rusticello annorum XVI Baebia Titi filia Oppia mater filio posuit","44.0183606","16.0181762","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15036a_1.jpg;$M_CIL_03_15036a_2.jpg"
"EDCS-31200545","CIL 03, 15039","Dalmatia","Burnum","Burnum","1","150","tituli sepulcrales","]cenon[3] / [3 e]t sibi p[osuit // ]BRE[ // ]IDI[","cenon et sibi posuit BRE IDI","44.0183606","16.0181762",NA
"EDCS-03000732","REMCacak 00013 = AE 1996, 01199 = AE 2001, +01605","Dalmatia","Cacak / Malvesiatium","Municipium Malvesatium","9","70","milites;  tituli sacri;  viri","] VL[3] / [b(ene)]f(iciarius) co[(n)s(ularis)] / [l]eg(ionis) XI [Cl(audiae)] / [v(otum)] s(olvit) [l(ibens) m(erito)]","VL beneficiarius consularis legionis XI Claudiae votum solvit libens merito","43.8913319","20.3501125","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00013.jpg"
"EDCS-27400589","CIL 03, 01742 (p 1492)","Dalmatia","Cavtat / Epidaurum","Epidaurum","1","100","liberti/libertae;  milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri","Lartidia Recepta / C(ai) Lartidi Crispi |(centurionis) / coh(ortis) VIII volunt(iariorum) ann(orum) / XXVII patronus pos(u)it / h(ic) s(ita) e(st)","Lartidia Recepta Cai Lartidi Crispi centurionis cohortis VIII voluntiariorum annorum XXVII patronus posuit hic sita est","42.5814314","18.2177461",NA
"EDCS-27400590","CIL 03, 01743 (p 1028)","Dalmatia","Cavtat / Epidaurum","Epidaurum","1","150","milites;  mulieres;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri","Sabinae Herme/tis N(ovi) P() et Noviae Do/natae et No(viae) Hermae / Sabinus per suis fecit / de Sabinino mil(ite) / coh(ortis) VIII vol(untiariorum) an(norum) XXII","Sabinae Hermetis Novi P et Noviae Donatae et Noviae Hermae Sabinus per suis fecit de Sabinino milite cohortis VIII voluntiariorum annorum XXII","42.5814314","18.2177461",NA
"EDCS-31500389","CIL 03, 08406","Dalmatia","Cavtat / Epidaurum","Epidaurum","1","150","milites;  ordo equester;  ordo senatorius;  tria nomina;  viri","M(arcus) Annius M(arci) f(ilius) Triarius / <t=P>r(ibunus) mil(itum)","Marcus Annius Marci filius Triarius tribunus militum","42.5814314","18.2177461",NA
