"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude"
"EDCS-28000206","CIL 03, 02433","Dalmatia","Solin / Salona","Salona","1","150","mulieres;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri","]tatio Maximo f(ilio) et / [3]atiae Liberali f(iliae) et / [3]atia[e] Verae f(iliae) et / [3]atio Luciensi f(ilio) et / [3]atiae Secundae f(iliae) / [3 in] agr(o) p(edes) XX / [","tatio Maximo filio et atiae Liberali filiae et atiae Verae filiae et atio Luciensi filio et atiae Secundae filiae in agro pedes XX","43.5441591","16.4919213"
"EDCS-28000220","CIL 03, 02447 (p 1031)","Dalmatia","Solin / Salona","Salona","1","150","tituli sepulcrales;  viri","M(arco) Octa/vio M(arci) f(ilio) / Trom(entina) / [","Marco Octavio Marci filio Tromentina","43.5441591","16.4919213"
"EDCS-28000222","CIL 03, 02449","Dalmatia","Solin / Salona","Salona","1","150","mulieres;  tituli sepulcrales;  tria nomina","] / t(estamento) f(ieri) i(ussit) sibi et suis / arbitrat(u) Octaviae Thallusae / uxoris","testamento fieri iussit sibi et suis arbitratu Octaviae Thallusae uxoris","43.5441591","16.4919213"
"EDCS-28000003","CIL 03, 02470","Dalmatia","Solin / Salona","Salona","1","150","tituli sepulcrales;  tria nomina;  viri","L(ucio) Plotio / L(uci) filio T(eretina?) Basso","Lucio Plotio Luci filio Teretina Basso","43.5441591","16.4919213"
"EDCS-28000009","CIL 03, 02476","Dalmatia","Solin / Salona","Salona","1","150","mulieres;  tituli sepulcrales;  tria nomina;  viri","P(ublio) Pomponio Pau/lo Caecilia Q(uinti) / f(ilia) Paula mater / pos(u)it","Publio Pomponio Paulo Caecilia Quinti filia Paula mater posuit","43.5441591","16.4919213"
"EDCS-28000016","CIL 03, 02483 (p 1031)","Dalmatia","Solin / Salona","Salona","69","96","liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri","Pontien[a] Cale v(iva) [f(ecit)] sib(i) et / T(ito) Flavio Aug(usti) l(iberto) Suavi viro / Q(uinto) Pontieno Suavi fil(io) a(nnorum) XX","Pontiena Cale viva fecit sibi et Tito Flavio Augusti liberto Suavi viro Quinto Pontieno Suavi filio annorum XX","43.5441591","16.4919213"
"EDCS-28000017","CIL 03, 02484","Dalmatia","Solin / Salona","Salona","1","150","mulieres;  tituli sepulcrales;  tria nomina;  viri","]cemeni / [an]n(orum) XX / [P]ostumae matri / [3]ndinae et Corneli/[ae Fel]iculae libertis / [libert]abusque Corneli / [Agat]hangeli","cemeni annorum XX Postumae matri ndinae et Corneliae Feliculae libertis libertabus que Corneli Agathangeli","43.5441591","16.4919213"
"EDCS-28000029","CIL 03, 02496","Dalmatia","Solin / Salona","Salona","1","150","mulieres;  tituli sepulcrales;  tria nomina;  viri","P(ublius) Publicius / Philetus / v(ivus) f(ecit) sibi et / Tersiniae Pantherae / libertis libertab(usque) / posterisq(ue) eor(um) / h(oc) m(onumentum) h(eredem) n(on) s(equetur)","Publius Publicius Philetus vivus fecit sibi et Tersiniae Pantherae libertis libertabus que posteris que eorum hoc monumentum heredem non sequetur","43.5441591","16.4919213"
"EDCS-28000030","CIL 03, 02497 (p 1032) = Tozzi-2017, 00096","Dalmatia","Solin / Salona","Salona","1","100","liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Publicius L(uci) l(ibertus) Trophimus / v(ivus) f(ecit) sibi et / L(ucio) Publicio Iasoni patron(o) defun(cto) / Iuliae Vendoni uxori eius / Publiciae Gorge coniugi suae / Publiciae Inventae Publicio Taurioni fil(iis) suis / in fr(onte) p(edes) XII in ag(ro) p(edes) XVI / h(oc) m(onumentum) h(eredem) n(on) s(equetur)","Lucius Publicius Luci libertus Trophimus vivus fecit sibi et Lucio Publicio Iasoni patrono defuncto Iuliae Vendoni uxori eius Publiciae Gorge coniugi suae Publiciae Inventae Publicio Taurioni filiis suis in fronte pedes XII in agro pedes XVI hoc monumentum heredem non sequetur","43.5441591","16.4919213"
"EDCS-28000044","CIL 03, 02511","Dalmatia","Solin / Salona","Salona","1","150","mulieres;  nomen singulare;  servi/servae;  tituli sepulcrales;  tria nomina;  viri","Sabinae / Hermetis / Novi Persici / [","Sabinae Hermetis Novi Persici","43.5441591","16.4919213"
"EDCS-28000057","CIL 03, 02523 = CIL 03, 08642","Dalmatia","Solin / Salona","Salona","1","150","liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina","Seppienae Philomen(a)e vivae / Seppiena Restituta lib(erta) / matr(i) fec(it)","Seppienae Philomenae vivae Seppiena Restituta liberta matri fecit","43.5441591","16.4919213"
"EDCS-28000065","CIL 03, 02531","Dalmatia","Solin / Salona","Salona","1","150","liberti/libertae;  tituli sepulcrales;  tria nomina;  viri","C(aio) Sossio C(ai) l(iberto) Philomuso / testamento f(ieri) i(ussit) / arbitratu / C(ai) Sossi C(ai) l(iberti) Severi et / L(uci) Genuci L(uci) l(iberti) Rustici","Caio Sossio Cai liberto Philomuso testamento fieri iussit arbitratu Cai Sossi Cai liberti Severi et Luci Genuci Luci liberti Rustici","43.5441591","16.4919213"
"EDCS-28000066","CIL 03, 02532 (p 1032)","Dalmatia","Solin / Salona","Salona","1","150","tituli sepulcrales;  tria nomina;  viri","L(ucius) E[3]tius Sotericus h(ic) [3]","Lucius E tius Sotericus hic","43.5441591","16.4919213"
"EDCS-28000070","CIL 03, 02536 = CIL 03, 08643 = AE 2008, 01052","Dalmatia","Solin / Salona","Salona","1","150","tituli sepulcrales;  tria nomina;  viri","L(ucius) Sthenius [3] / Creticus / sibi et suis / [","Lucius Sthenius Creticus sibi et suis","43.5441591","16.4919213"
"EDCS-28000093","CIL 03, 02559","Dalmatia","Solin / Salona","Salona","1","150","tituli sepulcrales;  tria nomina;  viri","A(ulus) Tiburtius / Campester / ann(orum) XL / h(ic) s(itus) e(st) / filii posuerunt / [","Aulus Tiburtius Campester annorum XL hic situs est filii posuerunt","43.5441591","16.4919213"
"EDCS-28000104","CIL 03, 02570","Dalmatia","Solin / Salona","Salona","1","150","mulieres;  tituli sepulcrales;  viri","] / Valeri[a 3] / v(iva) f(ecit) sibi et [3] / Felici co[niugi 3] / Clodiae P[3] / Iuliae T[3] / Valeriae P I[3] / suis posterisque [","Valeria viva fecit sibi et Felici coniugi Clodiae P Iuliae T Valeriae P I suis posteris que","43.5441591","16.4919213"
"EDCS-28100081","CIL 03, 02574","Dalmatia","Solin / Salona","Salona","1","100","tituli sepulcrales","]V[3] / [3]VL M[3] / [3] Val(eri?) Max[3] / [3 li]b(ertis?) libertabusq[ue 3] / h(oc) m(onumentum) h(eredem) n(on) s(equetur) / [3 in] agr(o) p(edes) XXI","V VL M Valeri Max libertis libertabus que hoc monumentum heredem non sequetur in agro pedes XXI","43.5441591","16.4919213"
"EDCS-28100082","CIL 03, 02575 (p 1510) = AE 2012, +01096","Dalmatia","Solin / Salona","Salona","71","130","mulieres;  tituli sepulcrales;  tria nomina;  viri","C(aio) Valerio / Primigenio / C(aio) Valerio C(ai) f(ilio) / Metallico / Plotia Amand(a?) / viro et fil(io)","Caio Valerio Primigenio Caio Valerio Cai filio Metallico Plotia Amanda viro et filio","43.5441591","16.4919213"
"EDCS-28100122","CIL 03, 02615 (p 1032)","Dalmatia","Solin / Salona","Salona","1","150","mulieres;  tituli sepulcrales;  tria nomina;  viri","Ulpia C(ai) f(ilia) Prima v(iva) f(ecit) sibi / et [C(aio)] Ulpio C(ai) f<il=ET>(io) Quartino <pa=FR>tr(i) / et Maximill(a)e Poppi(a)e matri / et Sextilio Saturnino (fra)tr(i) / et C() Clementille filio / et libert(is) liberta(busque) com<m=E>u(nibus)","Ulpia Cai filia Prima viva fecit sibi et Caio Ulpio Cai filTio Quartino paRtri et Maximillae Poppiae matri et Sextilio Saturnino fratri et C Clementille filio et libertis libertabus que communibus","43.5441591","16.4919213"
"EDCS-28100124","CIL 03, 02617","Dalmatia","Solin / Salona","Salona","1","100","mulieres;  tituli sepulcrales;  tria nomina;  viri","Volsiae Pyrallidi / Mammio Quartioni / viro / Volsio Saturnino f(ilio) / Iuliae Craterillae f(iliae) / Octavio Mammiano n(epoti) / Volsio Pyramo f(ilio) et Octavio Nardo adf(ini) / in f(ronte) p(edes) XXV in ag(ro) p(edes) XXX h(oc) m(onumentum) h(eredem) n(on) s(equetur)","Volsiae Pyrallidi Mammio Quartioni viro Volsio Saturnino filio Iuliae Craterillae filiae Octavio Mammiano nepoti Volsio Pyramo filio et Octavio Nardo adfini in fronte pedes XXV in agro pedes XXX hoc monumentum heredem non sequetur","43.5441591","16.4919213"
"EDCS-28100143","CIL 03, 02636","Dalmatia","Solin / Salona","Salona","1","150","tituli sepulcrales","in f]ronte p(edes) XXXXIII","in fronte pedes XXXXIII","43.5441591","16.4919213"
"EDCS-28100159","CIL 03, 02653","Dalmatia","Solin / Salona","Salona","1","150",NA,"h(oc)] m(onumentum) h(eredem) n(on) s(equetur)","hoc monumentum heredem non sequetur","43.5441591","16.4919213"
"EDCS-54900234","CIL 03, 03198a (p 2275, 2328,19) = CIL 03, 03200 = CIL 03, 10156 = CIL 03, 10158 = CIL 17-04, p 130 = D 02478 = D 05829 = ILJug-01, 00262 = Legio-VII 00091 = AE 1961, 00304 = AE 2006, +01004","Dalmatia","Solin / Salona","Salona","16","17","Augusti/Augustae;  miliaria;  milites;  tituli operum;  tituli sacri;  viri","V // [Ti(berius) C]aesar divi Augusti f(ilius) / [Aug]ustus Imp(erator) pont(ifex) max(imus) / [trib(unicia)] potest(ate) XIIX co(n)s(ul) II / [viam] a colonia Salonitan(a) / [ad f]in[es] provinciae Illyrici / [ // ] / cuius via<e=I> mil{l}ia pasuus sunt / CLXVII munit per vexillarios / leg(ionum) VII et XI / item viam Gabinianam / ab(!) Salonis Andetrium aperuit / et munit per leg(ionem) VII / [","V Tiberius Caesar divi Augusti filius Augustus Imperator pontifex maximus tribunicia potestate XIIX consul II viam a colonia Salonitana ad fines provinciae Illyrici cuius viae milia pasuus sunt CLXVII munit per vexillarios legionum VII et XI item viam Gabinianam ab Salonis Andetrium aperuit et munit per legionem VII","43.5441591","16.4919213"
